Console,Game,Proper Name,Type,Hack Of,Description
GBA,pokemon glazed,Pokémon Glazed,ROM Hack,Pokémon Emerald,"A very popular Emerald hack set in the Tunod region, with cross-generation Pokémon and a sprawling story."
GBA,pokemon snakewood,Pokémon Ruby: Snakewood,ROM Hack,Pokémon Ruby,"A Ruby hack (Ruby: Snakewood) that turns Hoenn into a zombie apocalypse, full of dark and absurd humor."
GBA,pokemon gaia,Pokémon Gaia,ROM Hack,Pokémon FireRed,"An acclaimed FireRed hack set in the Orbtus region, with an ancient-civilization story, polished maps, and modern features."
GBA,pokemon moemon emerald,Moemon Emerald,ROM Hack,Pokémon Emerald,An Emerald 'Moemon' hack that replaces Pokémon sprites with anime-girl personifications.
GBA,FE binding,Fire Emblem: The Binding Blade (fan translation),Translation,,"Fire Emblem: The Binding Blade (FE6), Roy's Japan-only strategy RPG, played in English via fan translation."
GBA,pokemon emerald legacy,Pokémon Emerald Legacy,ROM Hack,Pokémon Emerald,"An Emerald hack that rebalances and streamlines Hoenn for a cleaner, modern playthrough."
GBA,pokemon flora sky,Pokémon Flora Sky,ROM Hack,Pokémon Emerald,"An Emerald hack with an expanded Hoenn, new areas, and a story around sky and time legendaries."
GBA,pokemon liquid crystal,Pokémon Liquid Crystal,ROM Hack,Pokémon FireRed,"A FireRed remake of Pokémon Crystal (Johto), with added islands and extra content."
GBA,pokemon moemon,Moemon FireRed,ROM Hack,Pokémon FireRed,A FireRed 'Moemon' hack replacing Pokémon with cute anime-girl versions.
GBA,pokemon My Ass,Pokémon My Ass Version (FireRed hack),ROM Hack,Pokémon FireRed,A crude comedy FireRed hack with outrageous humor and an offbeat story about a brash playboy trainer.
GBA,pokemon Ultraviolet,Pokémon Ultra Violet,ROM Hack,Pokémon FireRed,"A FireRed hack that improves the base game, making all 386 Pokémon obtainable in one cartridge."
GBA,pokemon emerald kaizo,Pokémon Emerald Kaizo,ROM Hack,Pokémon Emerald,An infamously brutal difficulty hack of Emerald where gym leaders run full competitive teams; a definitive GBA challenge run.
GBA,Mother 1+2,Mother 1+2 (fan translation),Translation,,"A GBA compilation of the first two Mother games (EarthBound Beginnings + EarthBound), quirky turn-based RPGs; Japan-only, fan-translated."
GBA,pokemon fire red rocket,Pokémon FireRed: Rocket Edition (by Colonelsalt),ROM Hack,Pokémon FireRed,A FireRed hack (Rocket Edition by Colonelsalt) where you play a Team Rocket member and can steal Pokémon from defeated trainers.
GBA,pokemon emerald sea glass,Pokémon Emerald Seaglass,ROM Hack,Pokémon Emerald,"An Emerald hack by Nemo622 with a cozy, Game Boy Color-style aesthetic, scuba minigames, and a wishing-well feature."
GBA,pokemon unbound,Pokémon Unbound,ROM Hack,Pokémon FireRed,"A top-tier FireRed hack set in the Borrius region, praised for its rich story, side content, and modern features."
GBA,pokemon super mariomon,Super MarioMon (Emerald hack),ROM Hack,Pokémon Emerald,"An Emerald hack where Mario characters become the catchable 'Mariomon', set in a Mushroom Kingdom region (sponsored by Alpharad)."
GBA,Mother 3,Mother 3 (fan translation),Translation,,"The acclaimed Japan-only sequel to EarthBound, an emotional turn-based RPG, played in English via a renowned fan translation."
Genesis,yuyu hakusho,Yū Yū Hakusho: Makyō Tōitsusen (fan translation),Translation,,"A four-player anime fighting game by Treasure based on Yu Yu Hakusho; Japan-only, played in English via fan translation."
Genesis,Mortal Kombat 2 unlimited,Mortal Kombat II Unlimited (hack),ROM Hack,Mortal Kombat II (Genesis),A hack of Mortal Kombat II that unlocks/restores hidden characters and tweaks the fighting game.
Genesis,Curse,Curse,Translation,,A Japan-only horizontal-scrolling shoot-'em-up; played in English via fan translation.
Genesis,Daze before Christmas,Daze Before Christmas,Import (non-US release),,A festive side-scrolling platformer released in PAL/Australian territories (never in the US).
Genesis,Dragons Lair,Dragon's Lair: The Adventure Continues,Prototype,,"An unreleased Genesis port of Dragon's Lair: The Adventure Continues, a platformer; survives as a leaked prototype."
Genesis,Fido Dido,Fido Dido,Prototype,,A cancelled platformer prototype based on the 7-Up mascot Fido Dido.
Genesis,Golden axe III,Golden Axe III,Import (Japan-only release),,A Japan-only entry in the Golden Axe beat-'em-up series (released in the US only via Sega Channel).
Genesis,Itchy & Scratchy,The Itchy & Scratchy Game,Prototype,,An unreleased Simpsons spin-off platformer (The Itchy & Scratchy Game) that survives only as a prototype.
Genesis,It came from the desert,It Came from the Desert,Prototype,,"A cancelled top-down action game based on the B-movie cult license; near-complete prototype, scrapped over a fatal bug."
Genesis,King Colossus,King Colossus (Kashin Kōrei) (fan translation),Translation,,A Japan-only action-RPG by Sega; played in English via fan translation.
Genesis,Langrisser II,Langrisser II (fan translation),Translation,,A Japan-only tactical strategy RPG; played in English via fan translation.
Genesis,Magic Warrior,Brave Battle Saga: The Legend of the Magic Warrior (fan translation),Translation,,"Brave Battle Saga: The Legend of the Magic Warrior, a Taiwanese Final Fantasy-style RPG; fan-translated to English."
Genesis,Monster World,Monster World IV (fan translation),Translation,,"Monster World IV, a Japan-only action-platformer RPG (later officially localized); played here via fan translation."
Genesis,Nadia,Fushigi no Umi no Nadia (fan translation),Translation,,A Japan-only game based on the anime Nadia: The Secret of Blue Water; played in English via fan translation.
Genesis,Panorama cotton,Panorama Cotton (fan translation),Translation,,A Japan-only behind-the-back rail shooter in the cute 'Cotton' series; fan-translated.
Genesis,pengo,Pengo,Import (Japan-only release),,A Japan-only console port of Sega's classic arcade maze game Pengo.
Genesis,Pulseman,Pulseman,Translation,,"A Game Freak action-platformer with an electric hero; Japan-only (US via Sega Channel), played in English via fan translation."
Genesis,ResQ,ResQ,Prototype,,An unreleased puzzle/rescue game that survives only as a prototype.
Genesis,slap fight,Slap Fight MD,Translation,,"Slap Fight MD, a Japan-only console port of the vertical arcade shoot-'em-up."
Genesis,Snow Bros,Snow Bros.: Nick & Tom,Translation,,"Snow Bros.: Nick & Tom, a Japan-only port of the single-screen arcade platformer."
Genesis,Sonic classic,Sonic Classic Heroes (Sonic 2 hack),ROM Hack,Sonic the Hedgehog 2,"A Sonic 2 hack (Sonic Classic Heroes) that combines Sonic 1 and 2 and lets you play as a team of Sonic, Tails, and Knuckles."
Genesis,Stone Protectors,Stone Protectors,Prototype,,"An unreleased beat-'em-up based on the Stone Protectors cartoon/toy line; completed but never released, leaked as a prototype."
Genesis,Tetris,Tetris (Sega Mega Drive),Prototype (unreleased),,"The famously unreleased Sega Mega Drive version of Tetris, pulled before launch over licensing; an extremely rare prototype."
Genesis,Alien Soldier,Alien Soldier,Import (non-US release),,An intense Treasure run-and-gun with relentless boss battles; released in PAL/Japan (US only via Sega Channel).
Genesis,Beastball,Beastball (unreleased prototype),Prototype,,An unreleased futuristic sports game (a port of Brutal Sports Football); survives as a near-complete prototype.
Genesis,Darwin 4081,Darwin 4081,Translation,,A Japan-only vertical-scrolling shoot-'em-up by Data East; fan-translated.
Genesis,Lobo,Lobo (cancelled DC Comics fighting game; prototype),Prototype,,A cancelled DC Comics fighting game with pre-rendered sprites (à la Killer Instinct); survives as a prototype.
Genesis,Mr nutz,Mr. Nutz,Import (non-US release),,A colorful side-scrolling platformer starring a squirrel hero; a PAL release.
Genesis,Power rangers,Mighty Morphin Power Rangers (1994 fighting game),Official,,"Mighty Morphin Power Rangers (1994), a one-on-one competitive fighting game in the Street Fighter mold."
Genesis,Twinkle Tale,Twinkle Tale (fan translation),Translation,,A Japan-only top-down run-and-gun shooter with a magical theme; fan-translated.
Genesis,Undead line,Undeadline (fan translation),Translation,,A Japan-only fantasy-themed shooter/action game; fan-translated.
Genesis,Bare Knuckle 3,Bare Knuckle III (Japanese Streets of Rage 3),Translation,,"The Japanese version of Streets of Rage 3, a beat-'em-up that differs from the censored Western release in story and difficulty."
Genesis,Darxide,Darxide (32X),Import (non-US release),,A 32X 3D space-combat shooter; a PAL release showcasing the add-on's polygon graphics.
Genesis,Gleylancer,Advanced Busterhawk: Gley Lancer (fan translation),Translation,,"Advanced Busterhawk: Gleylancer, a Japan-only horizontal shoot-'em-up; fan-translated."
Genesis,Jelly Boy,Jelly Boy,Prototype,,"An unreleased platformer by Probe/Ocean; fully playable but cancelled, surviving as a prototype."
Genesis,Mega Man,Mega Man: The Wily Wars,Import (non-US release),,"Mega Man: The Wily Wars, 16-bit remakes of Mega Man 1-3 plus a new Wily Tower mode (a non-US cartridge release)."
Genesis,S factor,The S Factor: Sonia and Silver (Sonic 1 hack),ROM Hack,Sonic the Hedgehog,"The S Factor: Sonia and Silver, a Sonic 1 hack adding two new playable characters with unique moves."
Genesis,Super Mario Bros.,Super Mario Bros. (Genesis homebrew port by Mairtrus),Homebrew port,port of Super Mario Bros. (NES),A homebrew port of the original NES Super Mario Bros. to the Genesis (by Mairtrus).
Genesis,sonic lost worlds,Sonic the Hedgehog: The Lost Worlds (Sonic 2 hack),ROM Hack,Sonic the Hedgehog 2,"Sonic the Hedgehog: The Lost Worlds, a Sonic 2 hack that recreates the zones cut from the game during development."
Genesis,Sonic Megamix,Sonic the Hedgehog Megamix,ROM Hack,Sonic the Hedgehog,"An ambitious Sonic 1 hack with new playable characters, remixed levels, and extra abilities."
Genesis,Battle Mania II,Battle Mania Daiginjō (Trouble Shooter Vintage) (fan translation),Translation,,"Battle Mania Daiginjo (Trouble Shooter Vintage), a Japan-only run-and-gun shooter; fan-translated."
Genesis,Eliminate Down,Eliminate Down,Translation,,"A rare, highly regarded Japan-only horizontal shoot-'em-up; fan-translated."
N64,Smash bros remix,Super Smash Bros. Remix,ROM Hack,Super Smash Bros.,"A hack of Super Smash Bros. (N64) adding extra characters, stages, music, and rebalanced fighting-game play."
N64,Sin and punishment,Sin and Punishment: Successor of the Earth (fan translation),Translation,,"A Treasure on-rails action shooter; Japan-only, played in English via fan translation."
N64,Zelda dawn and dusk,The Legend of Zelda: Dawn & Dusk,ROM Hack,Zelda: Ocarina of Time,An Ocarina of Time hack with new dungeons and a reworked overworld.
N64,Mario escape from jail,Mario: Escape from the Jail (Super Mario 64 hack),ROM Hack,Super Mario 64,A Super Mario 64 hack (a Ztar Attack prequel) where Mario must break out of an abandoned jail across new courses.
N64,Zelda Missing Link,The Legend of Zelda: The Missing Link,ROM Hack,Zelda: Ocarina of Time,An Ocarina of Time hack offering a full original adventure set between OoT and Majora's Mask.
N64,Waluigi's taco stand,Waluigi's Taco Stand,ROM Hack,Super Mario 64,"A short, meme-famous Super Mario 64 hack built around Waluigi and a taco stand."
N64,Detective Luigi,Detective Luigi (Super Mario 64 hack),ROM Hack,Super Mario 64,"A Super Mario 64 hack where you play Luigi investigating disappearances in New Block City, with clue-gathering gameplay."
N64,Zelda majora master quest,The Legend of Zelda: Majora's Mask – Master Quest (hack),ROM Hack,Zelda: Majora's Mask,"A harder, remixed version of Majora's Mask with modified dungeons and increased difficulty."
N64,Mario dragonball kart,Dragon Ball Kart 64 (Mario Kart 64 hack),ROM Hack,Mario Kart 64,A Mario Kart 64 reskin (Dragon Ball Kart 64) replacing racers with Dragon Ball characters and voice clips.
N64,Zelda master of time,The Legend of Zelda: The Master of Time,ROM Hack,Zelda: Ocarina of Time,An Ocarina of Time total-conversion hack with an all-new story and world.
N64,Zelda Nimpized,The Legend of Zelda: Ocarina of Time - Nimpize Adventure,ROM Hack,Zelda: Ocarina of Time,"An acclaimed Ocarina of Time total conversion (Nimpize Adventure) with a new overworld, dungeons, and quest."
N64,Zelda master quest,The Legend of Zelda: Ocarina of Time Master Quest,Official (Master Quest; originally unreleased on N64),,"Nintendo's remixed-dungeon version of Ocarina of Time (originally the unreleased N64 'Ura Zelda', later an official GameCube disc)."
N64,Mario missing stars,Super Mario 64: The Missing Stars,ROM Hack,Super Mario 64,A Super Mario 64 hack adding new custom courses and stars to collect.
N64,Zelda Voyager of time,The Legend of Zelda: Voyager of Time (OoT hack),ROM Hack,Zelda: Ocarina of Time,"An Ocarina of Time hack with an original, darker story set after Majora's Mask, plus new dungeons."
NES,Adventure Island IV,Adventure Island IV (Takahashi Meijin no Bōken Jima IV) (fan translation),Translation,,A Japan-only entry in the Adventure Island platformer series; played in English via fan translation.
NES,Castlevania Com,Castlevania: Chorus of Mysteries (hack),ROM Hack,Castlevania,"Castlevania: Chorus of Mysteries, a full original fan campaign built on the first NES Castlevania."
NES,Earthbound,"EarthBound Beginnings / Mother (NES, fan translation)",Translation,,"EarthBound Beginnings (Mother), the NES original that started the series; Japan-only, played in English via fan translation (or the unreleased English prototype)."
NES,Final Fantasy 2,"Final Fantasy II (NES, fan translation)",Translation,,"The Japan-only NES sequel Final Fantasy II, a turn-based RPG; played in English via fan translation."
NES,Kirby Halloween,Kirby's Halloween Adventure (Kirby's Adventure hack),ROM Hack,Kirby's Adventure,A Halloween-themed hack of Kirby's Adventure with spooky enemy sprites and remixed levels.
NES,My little pony,My Little Pony: Dr. Discord's Conquest (Mega Man 3 hack),ROM Hack,Mega Man 3,"My Little Pony: Dr. Discord's Conquest, a My Little Pony-themed hack of Mega Man 3."
NES,Recca,Summer Carnival '92: Recca,Translation,,"Summer Carnival '92: Recca, an intense, bullet-heavy Japan-only vertical shoot-'em-up."
NES,Rick and Morty,Rick and Morty (NES graphics hack),ROM Hack,Alien Syndrome,"A graphics hack of the NES game Alien Syndrome, redrawing the characters as Rick and Morty."
NES,Splatterhouse,Splatterhouse: Wanpaku Graffiti (fan translation),Translation,,"Splatterhouse: Wanpaku Graffiti, a cute parody spin-off of the horror series; Japan-only, fan-translated."
NES,Sweet Home,Sweet Home (fan translation),Translation,,A Japan-only survival-horror RPG and key precursor to Resident Evil; played in English via fan translation.
NES,Deadpool,Deadpool (Ninja Gaiden NES hack),ROM Hack,Ninja Gaiden,"A hack of the NES game Ninja Gaiden, reskinned and expanded into a Deadpool action-platformer."
SNES,sailor moon rpg,Bishōjo Senshi Sailor Moon: Another Story (fan translation),Translation,,"Bishoujo Senshi Sailor Moon: Another Story, a Japan-only turn-based RPG; played in English via fan translation."
SNES,TERRANIGMA,Terranigma,"Import (PAL release, English)",,An acclaimed action-RPG by Quintet about reviving the world; released in English in PAL regions but never in the US.
SNES,bs zelda maps,"BS The Legend of Zelda (Satellaview, Map 1 & 2 editions)",Translation,,"BS The Legend of Zelda, Satellaview broadcast Zelda remakes (Map 1 & 2 editions); Japan-only, played via fan translation."
SNES,fire emblem holy war,Fire Emblem: Genealogy of the Holy War (Seisen no Keifu) (fan translation),Translation,,"Fire Emblem: Genealogy of the Holy War, a Japan-only tactical RPG with a multi-generational story; fan-translated."
SNES,Kaizo Mario world 2,Kaizo Mario World 2,ROM Hack,Super Mario World,A brutally difficult Super Mario World 'kaizo' hack demanding frame-perfect platforming.
SNES,Bahamut lagoon,Bahamut Lagoon (fan translation),Translation,,"A Square strategy RPG with dragon-raising mechanics; Japan-only, played in English via fan translation."
SNES,MEGAMAN AND BASS,Mega Man & Bass (Rockman & Forte) (fan translation),Translation,,"Mega Man & Bass (Rockman & Forte), a Japan-only SNES action-platformer; played in English via fan translation."
SNES,Chrono trigger crimson,Chrono Trigger: Crimson Echoes,ROM Hack,Chrono Trigger,"An ambitious unofficial fan sequel to Chrono Trigger (Crimson Echoes), built as a ROM hack of the original."
SNES,fire emblem mystery,Fire Emblem: Mystery of the Emblem (Monshō no Nazo) (fan translation),Translation,,"Fire Emblem: Mystery of the Emblem, a Japan-only tactical RPG; played in English via fan translation."
SNES,fire emblem 776,Fire Emblem: Thracia 776 (fan translation),Translation,,"Fire Emblem: Thracia 776, a deep Japan-only tactical RPG; played in English via fan translation."
SNES,sailor moon r,"Bishōjo Senshi Sailor Moon R (Super Famicom, fan translation)",Translation,,"Bishoujo Senshi Sailor Moon R, a Japan-only side-scrolling beat-'em-up with a versus mode; fan-translated."
SNES,SECRET OF MANA 2,Seiken Densetsu 3 / Trials of Mana (fan translation),Translation,,"Seiken Densetsu 3 (later officially released as Trials of Mana), an action-RPG; Japan-only on SNES, fan-translated."
SNES,smt if,Shin Megami Tensei if... (fan translation),Translation,,"Shin Megami Tensei if..., a school-set spin-off of the SMT RPG series; Japan-only, fan-translated."
SNES,SMT,Shin Megami Tensei (fan translation),Translation,,"Shin Megami Tensei, the first-person dungeon RPG that anchors the series; Japan-only, played in English via fan translation."
SNES,smt2,Shin Megami Tensei II (fan translation),Translation,,"Shin Megami Tensei II, the sequel RPG; Japan-only, played in English via fan translation."
SNES,Star ocean,Star Ocean (fan translation),Translation,,"A tri-Ace action-RPG with real-time battles and branching paths; Japan-only on SNES, fan-translated."
SNES,Super metroid phazon,Super Metroid: Phazon (hack),ROM Hack,Super Metroid,"A difficulty/exploration hack of Super Metroid with a redesigned, tougher Zebes."
SNES,tales of phantasia,Tales of Phantasia (fan translation),Translation,,"The first Tales action-RPG, technically impressive for the SNES; Japan-only, played in English via fan translation."
SNES,Y's4,Ys IV: Mask of the Sun (fan translation),Translation,,"Ys IV: Mask of the Sun, an action-RPG in the Ys series; Japan-only, fan-translated."
SNES,zelda parallel worlds,The Legend of Zelda: Parallel Worlds,ROM Hack,Zelda: A Link to the Past,A famously hard total-conversion hack of A Link to the Past with new dungeons and overworld.
SNES,Dragon Quest V,Dragon Quest V: Hand of the Heavenly Bride (fan translation),Translation,,"Dragon Quest V: Hand of the Heavenly Bride, a turn-based RPG with monster recruiting; SNES version fan-translated."
SNES,EquestriaBound,EquestriaBound (EarthBound hack),ROM Hack,EarthBound,"A My Little Pony-themed hack of EarthBound, reworking the RPG with pony characters."
SNES,F zero bs grand prix 2,BS F-Zero Grand Prix 2,Translation,,"A Satellaview broadcast F-Zero racer (BS F-Zero Grand Prix 2); Japan-only, played via fan translation."
SNES,Magic knight rayearth,Magic Knight Rayearth (fan translation),Translation,,"An action-RPG based on the Magic Knight Rayearth anime/manga; Japan-only, fan-translated."
SNES,Super Back to the future 2,Super Back to the Future Part II (fan translation),Translation,,"Super Back to the Future Part II, a Japan-only side-scrolling action-platformer; fan-translated."
SNES,Violinist of Hamelin,The Violinist of Hamelin (Hameln no Violin Hiki) (fan translation),Translation,,"A platformer based on the Violinist of Hamelin manga; Japan-only, played in English via fan translation."
SNES,Dragon quest 6,Dragon Quest VI: Realms of Revelation (fan translation),Translation,,"Dragon Quest VI: Realms of Revelation, a turn-based RPG with a dual-world story; SNES version fan-translated."
SNES,Earthbound halloween hack,EarthBound Halloween Hack,ROM Hack,EarthBound,"A short but acclaimed, story-heavy EarthBound hack (the 'Halloween Hack'/Brandish) with a dark, mature tone."
SNES,BS excite bike,BS Excitebike: Bunbun Mario Battle,Translation,,"BS Excitebike: Bunbun Mario Battle, a Satellaview racing game with Mario characters; Japan-only, fan-translated."
SNES,Jojo bizarre,"JoJo's Bizarre Adventure (SNES RPG, fan translation)",Translation,,"A Japan-only SNES RPG based on JoJo's Bizarre Adventure: Stardust Crusaders, mixing adventure and RPG combat; fan-translated."
SNES,parodius,Parodius Da! (fan translation),Translation,,"Parodius Da!, Konami's comedic parody of its Gradius shoot-'em-ups; Japan-only on SNES, fan-translated."
SNES,River city ransom 2,Shodai Nekketsu Kōha Kunio-kun (aka River City Ransom 2; fan translation),Translation,,"Shodai Nekketsu Kouha Kunio-kun (called 'River City Ransom 2' by fans), a Kunio beat-'em-up RPG; Japan-only, fan-translated."
SNES,Smt old,Shin Megami Tensei (original / older fan translation patch),Translation,,Shin Megami Tensei (the original RPG) with an earlier/older fan-translation patch applied.
SNES,Super Metroid Hyper,Super Metroid: Hyper (hack),ROM Hack,Super Metroid,A difficulty hack of Super Metroid with tougher enemies and a tweaked layout.
SNES,zelda goddess of wisdom,The Legend of Zelda: Goddess of Wisdom,ROM Hack,Zelda: A Link to the Past,"A full total-conversion hack of A Link to the Past with an all-new quest, dungeons, and map."
SNES,CLOCK TOWER,Clock Tower (fan translation),Translation,,A Japan-only point-and-click survival-horror game about escaping a killer; played in English via fan translation.
SNES,Conkers high rule tale,Conker's High Rule Tale (Zelda hack),ROM Hack,Zelda: A Link to the Past,A Link to the Past hack starring Conker the squirrel in a comedic reskin.
SNES,More zombies ate my neighbors,More Zombies Ate My Neighbors (hack),ROM Hack,Zombies Ate My Neighbors,An add-on hack of Zombies Ate My Neighbors providing a fresh set of levels for the co-op horror shooter.
SNES,FFV,Final Fantasy V (fan translation),Translation,,"Final Fantasy V, a job-system turn-based RPG; SNES version was Japan-only and is played in English via fan translation."
SNES,Super Metrooid Zero mission,Super Metroid: Zero Mission (hack),ROM Hack,Super Metroid,An exploration/redesign hack of Super Metroid that reworks the map and progression.
SNES,livealive,Live A Live (fan translation),Translation,,"Live A Live, an inventive RPG of seven separate scenarios across different eras; Japan-only on SNES (later remade), fan-translated."
TOTAL,,,,,
